fips,units_all,units_hcv
12071,5055,3343.0
12073,4390,2919.0
12075,309,129.0
12077,20,12.0
12079,263,115.0
12081,2842,2023.0
12083,2530,1465.0
12085,283,90.0
12086,51123,32300.0
12087,1388,479.0
12089,169,67.0
12091,1749,1070.0
12093,19,19.0
12095,9299,5771.0
12097,496,310.0
12099,11922,9117.0
12101,2468,1809.0
12103,13112,9481.0
12105,4564,2471.0
12107,1087,407.0
12109,491,259.0
12111,1968,866.0
12113,436,347.0
12115,2470,1763.0
12117,1166,917.0
12119,14,14.0
12121,367,83.0
12123,192,78.0
12125,177,7.0
12127,5844,3852.0
12129,89,86.0
12131,550,403.0
12133,145,42.0
13001,187,3.0
13003,73,1.0
13005,265,3.0
13007,42,3.0
13009,581,48.0
13011,17,
13013,531,164.0
13015,615,107.0
13017,438,12.0
13019,171,12.0
13021,7161,3643.0
13023,133,18.0
13025,42,1.0
13027,226,28.0
13029,115,48.0
13031,526,91.0
13033,486,43.0
13035,132,10.0
13037,91,3.0
13039,491,137.0
13043,123,
13045,1104,753.0
13047,347,34.0
13049,50,
13051,6204,3431.0
13053,4,3.0
13055,396,13.0
13057,660,436.0
13059,2359,323.0
13061,60,
13063,3051,2082.0
13065,86,6.0
13067,3534,2809.0
13069,501,25.0
13071,790,59.0
13073,133,65.0
13075,75,10.0
13077,1386,546.0
13079,90,19.0
13081,538,67.0
13083,18,6.0
13085,6,6.0
13087,502,9.0
13089,10193,7346.0
13091,377,40.0
13093,244,6.0
13095,2836,1147.0
13097,1149,773.0
13099,245,37.0
13103,86,86.0
13105,411,21.0
13107,152,19.0
13109,142,1.0
13111,139,3.0
13113,209,126.0
13115,553,91.0
13117,140,89.0
13119,315,6.0
13121,33255,22820.0
13123,113,3.0
13125,14,
13127,1736,765.0
13129,414,21.0
13131,248,15.0
13133,174,4.0
13135,5068,4102.0
13137,288,21.0
13139,964,238.0
13141,52,28.0
13143,348,10.0
13145,61,7.0
13147,287,10.0
13149,79,4.0
13151,1818,1674.0
13153,1946,1321.0
13155,188,9.0
13157,238,19.0
13159,77,19.0
13161,143,15.0
13163,170,4.0
13165,98,12.0
13167,91,1.0
13169,95,39.0
13171,211,7.0
13173,36,16.0
13175,928,156.0
13177,109,27.0
13179,823,195.0
13181,64,4.0
13183,4,4.0
13185,1774,740.0
13187,40,10.0
13189,338,131.0
13191,9,9.0
13193,276,4.0
13195,80,18.0
13197,97,18.0
13199,185,43.0
13201,95,6.0
13205,654,37.0
13207,174,4.0
13209,39,4.0
13211,123,25.0
13213,71,3.0
13215,5369,4132.0
13217,1482,1090.0
13219,10,9.0
13221,11,10.0
13223,603,382.0
13225,524,116.0
13227,156,3.0
13229,126,7.0
13231,3,3.0
13233,303,21.0
13235,118,52.0
13237,171,7.0
13239,4,4.0
13241,98,
13243,231,21.0
13245,7565,4451.0
13247,884,537.0
13249,40,
13251,92,
13253,12,12.0
13255,1182,456.0
13257,452,3.0
13259,70,
13261,1436,719.0
13263,56,3.0
13265,14,1.0
13267,339,4.0
13269,161,27.0
13271,134,9.0
13273,188,52.0
